id,cve_id,commit_url,project_name,commit_id,repo_url
6806,CVE-2020-5294,https://github.com/PrestaShop/ps_socialfollow/commit/c1768bf14c0fcf8311bea15fba4ffdda45522d6b,ps_socialfollow,c1768bf14c0fcf8311bea15fba4ffdda45522d6b,https://github.com//PrestaShop/ps_socialfollow
6807,CVE-2020-5295,https://github.com/octobercms/october/commit/2b8939cc8b5b6fe81e093fe2c9f883ada4e3c8cc,october,2b8939cc8b5b6fe81e093fe2c9f883ada4e3c8cc,https://github.com//octobercms/october
6808,CVE-2020-5296,https://github.com/octobercms/october/commit/2b8939cc8b5b6fe81e093fe2c9f883ada4e3c8cc,october,2b8939cc8b5b6fe81e093fe2c9f883ada4e3c8cc,https://github.com//octobercms/october
6809,CVE-2020-5297,https://github.com/octobercms/october/commit/6711dae8ef70caf0e94cec434498012a2ccd86b8,october,6711dae8ef70caf0e94cec434498012a2ccd86b8,https://github.com//octobercms/october
6810,CVE-2020-5298,https://github.com/octobercms/october/commit/cd0b6a791f995d86071a024464c1702efc50f46c,october,cd0b6a791f995d86071a024464c1702efc50f46c,https://github.com//octobercms/october
6811,CVE-2020-5299,https://github.com/octobercms/october/commit/802d8c8e09a2b342649393edb6d3ceb958851484,october,802d8c8e09a2b342649393edb6d3ceb958851484,https://github.com//octobercms/october
6812,CVE-2020-5299,https://github.com/octobercms/library/commit/c84bf03f506052c848f2fddc05f24be631427a1a,library,c84bf03f506052c848f2fddc05f24be631427a1a,https://github.com//octobercms/library
6813,CVE-2020-5300,https://github.com/ory/hydra/commit/700d17d3b7d507de1b1d459a7261d6fb2571ebe3,hydra,700d17d3b7d507de1b1d459a7261d6fb2571ebe3,https://github.com//ory/hydra
6814,CVE-2020-5301,https://github.com/simplesamlphp/simplesamlphp/commit/47968d26a2fd3ed52da70dc09210921d612ce44e,simplesamlphp,47968d26a2fd3ed52da70dc09210921d612ce44e,https://github.com//simplesamlphp/simplesamlphp
6815,CVE-2020-5303,https://github.com/tendermint/tendermint/commit/e2d6859afd7dba4cf97c7f7d412e7d8fc908d1cd,tendermint,e2d6859afd7dba4cf97c7f7d412e7d8fc908d1cd,https://github.com//tendermint/tendermint
6816,CVE-2020-5310,https://github.com/python-pillow/Pillow/commit/4e2def2539ec13e53a82e06c4b3daf00454100c4,Pillow,4e2def2539ec13e53a82e06c4b3daf00454100c4,https://github.com//python-pillow/Pillow
6817,CVE-2020-5311,https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3,Pillow,a79b65c47c7dc6fe623aadf09aa6192fc54548f3,https://github.com//python-pillow/Pillow
6818,CVE-2020-5312,https://github.com/python-pillow/Pillow/commit/93b22b846e0269ee9594ff71a72bec02d2bea8fd,Pillow,93b22b846e0269ee9594ff71a72bec02d2bea8fd,https://github.com//python-pillow/Pillow
6819,CVE-2020-5313,https://github.com/python-pillow/Pillow/commit/a09acd0decd8a87ccce939d5ff65dab59e7d365b,Pillow,a09acd0decd8a87ccce939d5ff65dab59e7d365b,https://github.com//python-pillow/Pillow
6820,CVE-2020-5390,https://github.com/IdentityPython/pysaml2/commit/f27c7e7a7010f83380566a219fd6a290a00f2b6e,pysaml2,f27c7e7a7010f83380566a219fd6a290a00f2b6e,https://github.com//IdentityPython/pysaml2
6821,CVE-2020-5390,https://github.com/IdentityPython/pysaml2/commit/5e9d5acbcd8ae45c4e736ac521fd2df5b1c62e25,pysaml2,5e9d5acbcd8ae45c4e736ac521fd2df5b1c62e25,https://github.com//IdentityPython/pysaml2
6822,CVE-2020-5607,https://github.com/shirasagi/shirasagi/commit/040a02c9d4b5dd2f91c5c29c0008a47cde6ee99a.patch,shirasagi,040a02c9d4b5dd2f91c5c29c0008a47cde6ee99a,https://github.com//shirasagi/shirasagi
6823,CVE-2020-5607,https://github.com/shirasagi/shirasagi/commit/040a02c9d4b5dd2f91c5c29c0008a47cde6ee99a,shirasagi,040a02c9d4b5dd2f91c5c29c0008a47cde6ee99a,https://github.com//shirasagi/shirasagi
6824,CVE-2020-6016,https://github.com/ValveSoftware/GameNetworkingSockets/commit/e0c86dcb9139771db3db0cfdb1fb8bef0af19c43,GameNetworkingSockets,e0c86dcb9139771db3db0cfdb1fb8bef0af19c43,https://github.com//ValveSoftware/GameNetworkingSockets
6825,CVE-2020-6017,https://github.com/ValveSoftware/GameNetworkingSockets/commit/e0c86dcb9139771db3db0cfdb1fb8bef0af19c43,GameNetworkingSockets,e0c86dcb9139771db3db0cfdb1fb8bef0af19c43,https://github.com//ValveSoftware/GameNetworkingSockets
6826,CVE-2020-6018,https://github.com/ValveSoftware/GameNetworkingSockets/commit/bea84e2844b647532a9b7fbc3a6a8989d66e49e3,GameNetworkingSockets,bea84e2844b647532a9b7fbc3a6a8989d66e49e3,https://github.com//ValveSoftware/GameNetworkingSockets
6827,CVE-2020-6019,https://github.com/ValveSoftware/GameNetworkingSockets/commit/d944a10808891d202bb1d5e1998de6e0423af678,GameNetworkingSockets,d944a10808891d202bb1d5e1998de6e0423af678,https://github.com//ValveSoftware/GameNetworkingSockets
