id,cve_id,commit_url,project_name,commit_id,repo_url,parent_commit_id
14520,CVE-2024-32005,https://github.com/zauberzeug/nicegui/commit/ed12eb14f2a6c48b388a05c04b3c5a107ea9d330,nicegui,ed12eb14f2a6c48b388a05c04b3c5a107ea9d330,https://github.com//zauberzeug/nicegui,7c3e01af16dc5166814410c4a609db3ddc1a4cc5
14521,CVE-2024-32020,https://github.com/git/git/commit/1204e1a824c34071019fe106348eaa6d88f9528d,git,1204e1a824c34071019fe106348eaa6d88f9528d,https://github.com//git/git,8c9c051bef3db0fe267f3fb6a1dab293c5f23b38
14522,CVE-2024-32020,https://github.com/git/git/commit/9e65df5eab274bf74c7b570107aacd1303a1e703,git,9e65df5eab274bf74c7b570107aacd1303a1e703,https://github.com//git/git,2b3d38a6b12ffc949c98eaacd67e8e383c847529
14523,CVE-2024-32022,https://github.com/bmaltais/kohya_ss/commit/831af8babeb75faff62bcc6a8c6a4f80354f1ff1,kohya_ss,831af8babeb75faff62bcc6a8c6a4f80354f1ff1,https://github.com//bmaltais/kohya_ss,8633484a5a5aebe17c805bb3b46760873ed1f09b
14524,CVE-2024-32023,https://github.com/bmaltais/kohya_ss/commit/8bc67a7467f8366db1a4b9b3b14525ec763f1650,kohya_ss,8bc67a7467f8366db1a4b9b3b14525ec763f1650,https://github.com//bmaltais/kohya_ss,831af8babeb75faff62bcc6a8c6a4f80354f1ff1
14525,CVE-2024-32024,https://github.com/bmaltais/kohya_ss/commit/25bb1303fff21cb5bae17236d53504e85c1866df,kohya_ss,25bb1303fff21cb5bae17236d53504e85c1866df,https://github.com//bmaltais/kohya_ss,8bc67a7467f8366db1a4b9b3b14525ec763f1650
14526,CVE-2024-32025,https://github.com/bmaltais/kohya_ss/commit/831af8babeb75faff62bcc6a8c6a4f80354f1ff1,kohya_ss,831af8babeb75faff62bcc6a8c6a4f80354f1ff1,https://github.com//bmaltais/kohya_ss,8633484a5a5aebe17c805bb3b46760873ed1f09b
14527,CVE-2024-32026,https://github.com/bmaltais/kohya_ss/commit/831af8babeb75faff62bcc6a8c6a4f80354f1ff1,kohya_ss,831af8babeb75faff62bcc6a8c6a4f80354f1ff1,https://github.com//bmaltais/kohya_ss,8633484a5a5aebe17c805bb3b46760873ed1f09b
14528,CVE-2024-32027,https://github.com/bmaltais/kohya_ss/commit/831af8babeb75faff62bcc6a8c6a4f80354f1ff1,kohya_ss,831af8babeb75faff62bcc6a8c6a4f80354f1ff1,https://github.com//bmaltais/kohya_ss,8633484a5a5aebe17c805bb3b46760873ed1f09b
14529,CVE-2024-32028,https://github.com/open-telemetry/opentelemetry-dotnet/commit/e222ecb5942d4ce1cadfd4306c39e3f4933a5c42,opentelemetry-dotnet,e222ecb5942d4ce1cadfd4306c39e3f4933a5c42,https://github.com//open-telemetry/opentelemetry-dotnet,0bbebb53678003213275b64cf1ff3f62ec8257cc
14530,CVE-2024-32030,https://github.com/provectus/kafka-ui/commit/83b5a60cc08501b570a0c4d0b4cdfceb1b88d6b7#diff-37e769f4709c1e78c076a5949bbcead74e969725bfd89c7c4ba6d6f229a411e6R36,kafka-ui,83b5a60cc08501b570a0c4d0b4cdfceb1b88d6b7,https://github.com//provectus/kafka-ui,3dc4446321716016e4c2517be4e04a692cdee7a7
14535,CVE-2024-3234,https://github.com/gaizhenbiao/chuanhuchatgpt/commit/6b8f7db347b390f6f8bd07ea2a4ef01a47382f00,chuanhuchatgpt,6b8f7db347b390f6f8bd07ea2a4ef01a47382f00,https://github.com//gaizhenbiao/chuanhuchatgpt,40a0cc7018628b47948bd1a00e474e2350b45fe1
14536,CVE-2024-32461,https://github.com/librenms/librenms/commit/d29201fce134347f891102699fbde7070debee33,librenms,d29201fce134347f891102699fbde7070debee33,https://github.com//librenms/librenms,d7737b9889e145b72c414fd5218b63d29212f41e
14541,CVE-2024-32463,https://github.com/phlex-ruby/phlex/commit/9e3f5b980655817993682e409cbda72956d865cb,phlex,9e3f5b980655817993682e409cbda72956d865cb,https://github.com//phlex-ruby/phlex,1b59ab387bd60b8e76da77ad73e0b2c4b14181b9
14542,CVE-2024-32464,https://github.com/rails/rails/commit/e215bf3360e6dfe1497c1503a495e384ed6b0995,rails,e215bf3360e6dfe1497c1503a495e384ed6b0995,https://github.com//rails/rails,35858f1d9d57f6c4050a8d9ab754bd5d088b4523
14543,CVE-2024-32465,https://github.com/git/git/commit/7b70e9efb18c2cc3f219af399bd384c5801ba1d7,git,7b70e9efb18c2cc3f219af399bd384c5801ba1d7,https://github.com//git/git,f4aa8c8bb11dae6e769cd930565173808cbb69c8
14544,CVE-2024-32466,https://github.com/tolgee/tolgee-platform/commit/f71213925d6f80019f841db0ead9baa7488c1821,tolgee-platform,f71213925d6f80019f841db0ead9baa7488c1821,https://github.com//tolgee/tolgee-platform,3ea21b83d5b537b3f661fe59ba252d8f1e7a7996
14545,CVE-2024-32470,https://github.com/tolgee/tolgee-platform/commit/a0d861028d931f8a54387770eaf3a75031b81234,tolgee-platform,a0d861028d931f8a54387770eaf3a75031b81234,https://github.com//tolgee/tolgee-platform,7f5b717cb8d912532add9b48bd73eb82f6468063
11974,CVE-2023-2798,https://github.com/HtmlUnit/htmlunit/commit/940dc7fd,htmlunit,940dc7fd,https://github.com//HtmlUnit/htmlunit,
12052,CVE-2023-28772,https://github.com/torvalds/linux/commit/d3b16034a24a112bb83aeb669ac5b9b01f744bb7,linux,d3b16034a24a112bb83aeb669ac5b9b01f744bb7,https://github.com//torvalds/linux,
12149,CVE-2023-3022,https://github.com/torvalds/linux/commit/a65120bae4b7,linux,a65120bae4b7,https://github.com//torvalds/linux,
12151,CVE-2023-30258,https://github.com/magnussolution/magnusbilling7/commit/ccff9f6370f530cc41ef7de2e31d7590a0fdb8c3,magnusbilling7,ccff9f6370f530cc41ef7de2e31d7590a0fdb8c3,https://github.com//magnussolution/magnusbilling7,
12156,CVE-2023-30456,https://github.com/torvalds/linux/commit/112e66017bff7f2837030f34c2bc19501e9212d5,linux,112e66017bff7f2837030f34c2bc19501e9212d5,https://github.com//torvalds/linux,
12167,CVE-2023-30549,https://github.com/torvalds/linux/commit/4f04351888a83e595571de672e0a4a8b74f,linux,4f04351888a83e595571de672e0a4a8b74f,https://github.com//torvalds/linux,
12168,CVE-2023-30549,https://github.com/torvalds/linux/commit/2220eaf90992c11d888fe771055d4de3303,linux,2220eaf90992c11d888fe771055d4de3303,https://github.com//torvalds/linux,
12189,CVE-2023-30627,https://github.com/jellyfin/jellyfin-web/commit/b88a5951e1a517ff4c820e693d9c0da981cf68ee,jellyfin-web,b88a5951e1a517ff4c820e693d9c0da981cf68ee,https://github.com//jellyfin/jellyfin-web,
12226,CVE-2023-3095,https://github.com/nilsteampassnet/teampass/commit/774985f62f080715774604927fba2cb6ef701612,teampass,774985f62f080715774604927fba2cb6ef701612,https://github.com//nilsteampassnet/teampass,1c0825b67eb8f8b5ecc418ff7614423a275e6a79
