Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
14,28,152,18
14,28,143,19
6,14,11,3
6,28,53,13
10,19,486,82
9,23,21,4
10,19,312,57
9,23,10,2
12,22,99,17
9,23,29,5
18,19,956,164
9,23,32,5
5,21,618,97
9,23,31,5
6,28,105,23
9,23,23,4
6,28,343,60
12,23,49,12
6,28,2825,468
14,19,169,31
12,23,49,11
6,28,794,133
10,19,1296,196
8,27,4397,808
9,23,35,6
6,28,142,27
10,19,158,25
6,28,189,34
18,18,2235,393
9,23,50,10
9,23,21,4
18,19,806,137
9,23,46,7
6,28,132,26
15,22,28,7
8,27,403,74
9,23,49,8
22,23,66,12
12,21,11,2
22,23,53,11
10,17,72,12
13,18,1245,187
12,15,62,10
12,18,209,29
12,18,136,15
21,23,93,12
22,23,106,16
12,21,143,24
13,18,176,24
13,18,350,56
13,18,910,142
22,23,364,66
12,21,11,2
10,17,95,14
22,23,357,69
10,17,225,51
22,23,268,43
18,22,156,16
14,19,179,29
13,16,18,5
11,43,97,15
11,43,165,34
11,43,534,88
11,43,38,7
14,47,51,9
13,23,9,2
11,43,35,6
14,25,24,5
20,10,40,7
13,23,16,2
15,23,32,7
13,16,33,3
11,43,82,17
14,25,28,5
13,23,21,3
6,16,57,11
13,23,22,2
14,47,53,8
13,23,15,2
11,43,364,67
14,19,65,13
11,43,52,8
13,16,32,4
13,16,15,2
4,17,51,8
11,43,35,7
14,19,91,20
13,23,24,4
13,23,23,3
14,47,55,7
6,16,19,4
11,43,23,3
13,16,15,3
13,23,31,6
15,23,144,26
14,19,63,13
13,23,15,2
13,23,45,11
11,43,51,7
11,43,541,97
14,47,23,3
14,19,52,8
14,42,216,44
14,47,52,9
14,47,34,8
14,47,29,5
14,47,69,10
11,43,55,9
17,51,396,79
14,20,44,12
18,19,307,63
11,31,447,94
8,18,814,146
11,19,305,52
12,48,1759,285
17,23,5573,841
14,20,71,13
17,23,706,106
18,19,133,21
11,42,1970,282
9,16,651,97
9,18,3371,552
17,23,231,43
12,21,238,50
10,46,1051,161
12,48,342,63
13,31,308,65
10,44,214,35
11,19,592,88
11,24,106,20
17,23,479,83
17,23,61,14
11,42,1718,253
18,27,294,46
17,51,795,126
10,46,385,56
11,24,294,57
12,35,167,30
14,26,528,76
14,20,43,10
9,43,343,59
17,23,1324,212
11,24,107,23
8,42,1760,289
11,42,810,128
14,46,1301,188
11,45,1650,271
17,23,838,130
11,19,367,49
14,18,1210,185
14,14,287,49
14,18,365,56
14,18,1372,215
14,14,99,17
14,18,5291,805
14,18,319,49
14,14,3298,398
14,18,7500,1183
14,18,1182,183
14,14,717,118
14,14,51,12
14,14,1150,195
14,18,6871,1174
14,14,680,102
14,14,1131,209
14,14,219,41
14,14,449,68
14,14,1892,339
14,18,1405,235
14,14,67,12
14,18,8101,1355
14,14,272,40
14,18,31,6
14,18,2678,439
14,18,6036,1055
14,18,23002,3553
14,18,183,29
14,18,294,52
14,18,585,115
14,14,35,4
14,18,6261,936
14,14,1700,279
14,18,128,18
14,18,1678,286
19,23,436,87
18,12,81,17
19,23,188,45
6,21,78,18
19,23,252,53
19,23,10312,2093
19,23,752,136
10,20,404,72
10,20,67,10
10,20,1172,181
11,25,26,5
11,17,151,27
11,22,38,5
11,15,54,9
11,12,46,8
11,17,24,4
9,27,27,3
12,26,162,32
11,17,84,12
11,12,30,5
11,17,274,50
10,23,294,54
9,22,18,2
13,15,47,5
10,23,182,31
15,25,48,6
11,17,26,2
17,26,213,33
11,22,422,67
11,24,315,50
11,17,309,55
14,22,83,10
9,16,30,7
11,22,107,18
11,17,24,4
11,22,81,15
11,17,61,9
10,23,199,30
11,22,440,87
11,24,19,3
13,15,44,8
13,15,48,6
9,24,16,3
5,23,190,28
10,23,53,9
5,21,53,7
13,15,245,35
10,23,79,13
13,15,44,5
13,15,198,32
19,35,65,14
13,15,84,10
12,19,52,7
11,22,41,5
11,12,31,5
8,14,919,158
11,12,117,20
8,14,457,97
10,23,106,15
11,22,57,7
13,15,79,13
13,15,33,5
13,25,99,14
21,16,511,80
11,22,28,5
7,41,382,59
11,12,31,5
17,18,125,25
10,23,14,2
11,22,51,4
13,15,156,32
9,21,38,6
11,22,39,5
11,22,37,5
13,15,62,10
17,21,882,140
11,17,21,3
14,20,971,187
11,17,111,16
10,23,97,12
11,24,365,75
13,20,48,8
11,22,18,3
13,15,52,11
11,17,60,5
13,15,298,40
13,15,51,5
11,22,78,13
8,14,34,4
10,23,86,13
13,15,62,7
9,24,57,7
13,15,361,65
11,22,30,5
9,22,20,2
11,23,24,4
12,18,69,16
12,18,35,5
13,23,253,49
11,33,394,69
13,23,267,54
12,24,89,17
13,19,29,8
12,24,52,8
13,13,37,5
13,23,365,66
11,11,66,13
12,20,52,9
12,20,22,4
9,21,662,114
13,47,46,12
12,20,68,15
13,13,59,9
10,18,174,28
10,18,60,10
14,27,44,5
15,25,59,11
14,27,342,54
10,18,26,3
14,27,22,3
10,18,76,10
14,27,29,4
10,18,116,16
11,17,81,16
10,18,50,10
14,27,37,6
14,23,52,6
14,27,54,8
14,27,84,12
14,27,73,12
13,17,89,8
10,18,36,4
7,34,110,22
10,18,50,10
10,18,134,20
10,16,22,3
12,27,52,8
13,23,46,6
11,16,12,3
14,15,56,13
11,16,27,6
14,15,37,6
10,16,17,2
14,15,49,8
5,16,88,15
10,16,25,4
10,16,8,1
15,25,85,12
10,16,35,3
11,16,20,6
11,16,62,12
11,16,9,2
14,18,298,46
13,18,60,10
14,16,12,2
14,18,64,8
10,16,15,2
11,16,38,7
10,16,41,4
4,21,57,6
5,16,48,9
10,16,8,2
11,16,46,8
14,15,218,44
5,16,35,5
10,16,6,2
10,16,35,6
10,16,46,8
10,16,14,3
13,18,75,14
10,16,27,3
14,18,135,25
11,16,9,1
10,16,13,2
14,16,9,2
5,16,44,6
10,16,10,3
14,15,40,4
11,16,24,4
10,16,22,2
10,19,25,6
11,20,45,6
11,16,31,5
10,16,39,7
14,18,1153,243
14,24,571,119
14,15,38,6
14,15,240,42
12,15,76,13
16,20,54,11
14,18,47,7
10,16,12,3
11,16,20,8
13,43,33,6
13,20,55,13
11,16,15,2
14,15,81,17
11,16,31,6
12,22,88,17
10,16,24,4
11,16,30,5
14,16,36,7
14,18,50,8
10,16,9,2
10,16,17,3
10,16,23,5
4,21,127,24
14,15,28,6
10,16,19,4
10,16,14,3
11,16,3,1
10,16,8,1
14,18,46,6
11,21,48,8
12,22,35,5
11,10,136,29
12,22,343,70
14,16,542,98
19,31,958,155
23,21,584,113
9,19,50,8
9,19,32,5
9,19,105,17
9,19,103,20
9,19,169,28
9,19,34,6
19,19,75,16
16,20,83,13
19,18,45,7
9,19,144,24
9,19,66,11
18,18,38,8
9,19,65,15
9,19,45,7
8,22,133,16
9,19,845,149
23,33,1140,216
9,19,150,27
9,19,20,3
9,19,76,15
9,19,55,11
5,21,330,55
19,19,71,16
13,41,99,14
13,17,69,12
12,21,30,6
12,21,39,5
14,24,155,20
17,18,485,87
14,23,95,13
14,24,94,15
15,23,25,3
13,16,42,6
13,23,14,3
13,23,19,4
6,16,27,3
15,23,102,20
16,53,174,19
18,55,166,21
16,53,183,31
18,55,105,10
18,55,133,18
13,17,160,15
13,17,244,32
13,17,168,19
13,17,219,31
13,17,183,26
13,17,183,23
13,17,273,38
13,17,220,30
13,17,173,19
13,17,201,23
13,17,206,28
13,17,144,18
13,17,198,26
13,17,134,15
13,17,174,21
13,17,113,11
13,17,185,20
13,17,226,28
13,35,44,13
13,17,143,14
13,17,138,12
8,14,136,20
13,17,223,24
13,17,101,9
13,17,134,14
13,17,129,14
13,30,22,3
17,18,37,6
17,18,18,3
17,18,34,5
11,19,62,13
11,19,38,7
11,19,50,9
11,23,67,12
7,19,39,6
11,19,35,7
11,19,31,5
7,19,29,9
7,19,19,4
11,19,42,5
11,27,12,2
6,19,23,5
11,19,39,7
11,19,71,13
11,19,21,4
11,19,13,2
11,23,25,3
11,19,25,4
7,19,38,9
11,19,41,6
11,19,51,9
11,23,32,6
14,24,292,60
13,20,252,50
9,16,248,29
11,14,98,18
13,20,236,40
15,25,57,11
15,25,156,25
9,16,423,59
10,20,158,32
9,16,221,23
4,16,143,21
6,20,34,5
12,17,65,8
11,21,44,8
12,17,274,60
12,17,524,83
12,18,7,1
12,18,13,2
12,18,45,9
12,18,17,3
20,30,803,156
20,30,37,7
20,30,662,118
10,17,62,17
13,23,49,8
20,30,599,138
20,30,428,79
20,30,358,73
20,30,239,45
20,30,598,128
20,30,677,125
14,23,62,10
20,30,31,6
20,30,87,10
15,16,33,7
20,30,275,45
11,20,72,17
15,16,37,5
14,18,68,16
15,16,24,4
15,17,92,15
15,17,51,11
15,17,63,7
15,17,46,8
15,17,61,11
15,17,47,9
15,17,56,12
15,17,86,15
15,17,20,5
15,17,101,14
12,22,58,9
12,22,22,5
14,22,22,3
14,22,30,5
14,22,131,25
14,22,521,90
14,22,97,16
14,22,21,4
14,22,73,14
14,22,41,10
14,22,263,52
14,22,49,9
19,31,43,6
14,26,281,56
14,26,2841,582
10,13,38,7
11,22,149,32
14,26,413,74
15,22,78,14
14,22,129,21
15,22,34,6
11,22,42,7
19,31,47,4
14,26,56,10
10,13,108,18
14,26,368,95
19,31,18,3
15,22,71,10
14,26,70,10
15,22,45,8
11,22,4054,709
10,13,20,4
14,26,211,37
14,26,787,138
15,22,13,3
14,22,42,6
15,22,69,16
14,26,361,70
11,22,1404,249
10,13,22,4
14,26,559,91
15,22,52,10
14,26,49,6
15,22,38,7
15,22,13,3
16,19,22,4
14,26,1279,289
19,31,43,4
10,13,58,11
14,22,169,37
14,26,278,45
10,53,115,16
14,26,239,38
15,22,70,12
15,22,48,8
15,22,43,8
10,13,57,12
15,22,46,9
14,25,60,12
14,19,59,11
14,25,146,28
14,25,43,7
14,25,34,6
14,19,55,11
14,25,123,19
14,19,182,34
14,25,67,12
14,19,72,13
14,25,62,13
14,25,17,4
14,25,41,7
14,25,158,31
14,25,77,16
14,19,220,42
14,25,66,13
14,19,186,32
14,25,206,41
14,19,37,6
14,19,136,29
14,25,67,11
14,19,179,41
14,19,62,11
14,19,74,14
14,19,125,24
14,25,159,27
14,25,42,8
14,25,266,48
14,25,70,11
14,19,64,9
14,25,163,27
14,19,37,8
14,25,381,76
14,25,61,12
14,19,374,77
14,19,69,12
14,19,90,17
14,19,65,11
14,25,104,18
14,19,73,9
14,19,236,48
14,25,28,5
14,25,84,15
14,19,102,20
14,19,263,53
14,25,289,64
14,19,242,52
14,25,84,19
14,25,49,10
14,25,30,7
14,25,114,19
14,19,139,26
14,25,89,18
14,25,149,27
14,19,363,63
14,19,344,81
14,25,103,19
14,19,115,24
14,25,88,15
14,25,44,13
14,25,58,11
14,25,79,20
14,25,30,7
14,19,68,15
14,19,373,90
14,19,58,11
14,19,199,34
14,19,62,15
14,19,65,13
14,25,93,17
14,25,113,22
14,25,46,8
14,19,81,13
14,19,177,32
14,25,31,5
14,19,118,27
14,19,109,17
14,19,606,98
14,19,62,10
14,19,46,9
14,19,43,8
14,19,112,21
12,19,193,30
14,19,101,18
14,25,28,7
14,25,80,17
14,25,64,13
14,25,110,19
14,19,149,27
14,19,282,59
14,25,74,13
14,25,56,10
14,25,45,6
14,19,168,33
14,19,48,11
14,25,78,17
14,19,415,75
14,19,319,56
12,18,33,9
12,26,78,16
13,21,40,6
6,8,198,50
6,8,555,105
6,8,1957,457
11,19,41,10
17,38,46,12
6,8,803,152
11,19,215,48
6,8,31,5
11,22,152,26
6,8,111,22
12,21,62,13
15,23,33,6
13,24,31,4
13,22,44,6
13,22,42,6
13,24,45,10
13,24,26,5
13,24,219,39
13,24,15,3
14,16,56,11
14,16,37,7
14,16,51,9
14,16,36,6
14,16,71,14
14,16,37,7
14,16,26,4
14,16,138,22
14,16,156,28
14,16,58,15
14,16,81,17
14,16,22,3
14,16,109,20
14,16,53,10
14,16,51,8
14,16,18,4
14,16,32,7
14,16,46,8
14,16,29,5
14,16,19,5
14,16,166,35
14,16,50,8
14,16,63,8
10,14,97,21
10,14,292,55
10,14,14,4
15,49,401,67
10,14,18,2
10,14,70,11
10,14,107,17
10,14,167,39
10,14,137,32
10,14,388,70
10,14,372,75
10,14,50,6
10,14,153,31
10,14,154,33
10,14,224,44
15,49,508,79
10,14,73,11
10,14,419,83
10,14,25,5
10,14,96,21
10,14,758,160
10,14,121,27
11,21,54,10
11,21,114,17
11,21,68,11
16,14,39,8
16,14,34,5
16,14,26,5
16,14,35,3
16,14,52,8
19,14,48,6
19,14,16,2
16,14,29,6
16,14,23,4
16,14,38,9
16,14,34,8
16,14,32,4
16,14,17,2
16,14,43,8
16,14,16,4
16,14,24,5
16,14,54,8
16,14,35,8
7,24,30,5
7,24,34,7
7,24,15,2
7,24,10,2
11,14,936,182
11,14,65,13
8,20,46,7
11,18,446,81
11,14,373,68
11,18,43,7
11,18,28,5
11,18,422,77
11,14,142,29
11,18,24,6
9,21,281,47
11,18,161,30
9,14,45,8
11,18,538,95
9,14,37,5
11,18,33,7
11,18,226,35
9,14,43,7
11,14,750,132
11,18,315,57
20,57,76,16
20,57,64,11
20,57,98,13
20,57,52,9
20,57,33,6
20,57,67,12
12,21,35,4
12,21,19,2
15,49,409,61
12,21,19,2
12,21,30,3
12,21,29,5
12,21,31,4
12,21,19,2
13,20,20,2
13,20,13,2
13,20,28,3
13,20,26,4
13,20,8,1
13,20,11,1
13,20,42,9
13,20,28,4
13,20,15,2
13,20,25,4
13,20,13,1
13,20,51,8
13,20,12,2
13,20,37,6
13,20,15,2
13,20,37,7
13,20,14,2
13,20,28,4
13,20,24,3
13,20,40,7
13,20,35,5
13,20,45,6
13,20,12,2
13,20,30,4
13,20,29,3
13,20,22,3
13,20,36,6
13,20,11,2
13,20,22,5
13,20,35,6
13,20,11,2
13,20,48,6
13,20,20,2
13,20,34,6
13,20,22,2
13,20,24,2
13,20,22,3
13,20,8,1
13,20,28,4
13,20,30,4
13,20,49,6
13,20,21,3
13,20,15,3
13,20,9,2
13,20,29,4
13,20,17,3
13,20,11,2
13,20,26,5
13,20,26,3
13,20,16,3
13,20,6,1
13,20,41,7
13,20,23,3
13,20,41,6
13,20,8,1
13,20,8,1
13,20,21,3
13,20,21,3
13,20,22,4
13,20,13,3
13,20,33,5
13,20,41,6
13,20,24,5
13,20,42,9
13,20,59,9
13,20,39,6
13,20,29,3
13,20,23,3
13,20,22,3
13,20,41,10
13,20,22,5
13,20,37,5
13,20,60,8
13,20,4,1
13,20,40,6
13,20,84,15
13,20,36,5
13,20,11,1
13,20,62,10
13,20,12,2
13,20,25,3
13,20,34,4
13,20,11,1
13,20,15,3
13,20,37,5
13,20,37,5
13,20,34,5
13,20,51,8
13,20,41,6
13,20,19,2
13,20,41,7
13,20,11,1
13,20,4,1
13,20,22,4
13,20,4,1
13,20,58,10
13,20,22,3
13,20,38,5
13,20,22,4
13,20,30,5
13,20,41,7
13,20,70,10
13,20,23,4
13,28,73,10
13,28,17,2
10,28,19,3
10,28,51,9
10,28,21,3
10,28,56,7
13,28,27,4
10,28,28,5
10,28,17,2
10,28,20,2
10,28,24,5
13,28,11,2
10,28,37,7
10,28,40,6
10,28,40,6
10,28,61,8
10,28,27,3
10,28,20,4
10,28,29,5
13,28,8,2
10,28,17,3
10,28,27,4
13,28,62,9
10,28,19,3
13,28,22,4
13,28,68,12
10,28,30,4
10,28,51,10
10,28,34,4
10,28,28,3
10,28,45,7
10,28,23,4
10,28,48,9
13,28,39,6
10,28,25,3
10,28,50,8
13,28,70,11
10,28,36,6
10,28,34,6
10,28,18,2
10,28,20,3
10,28,19,2
10,28,27,4
10,28,23,3
14,26,104,20
14,26,233,42
14,26,10,2
14,26,175,25
14,26,36,4
14,26,46,7
14,26,25,4
14,26,35,7
14,26,30,5
14,26,39,5
15,22,40,6
14,26,49,7
14,26,30,5
14,26,28,4
14,26,35,7
14,26,79,12
14,26,25,4
14,26,43,6
16,19,22,4
10,13,33,7
14,26,296,54
14,26,567,107
14,26,2308,430
10,19,63,14
15,19,138,26
16,22,43,7
11,18,74,10
10,23,49,10
15,29,69,10
9,24,34,7
10,23,36,4
17,29,51,8
10,19,28,5
12,22,310,52
10,19,406,69
15,20,51,10
9,25,72,10
12,22,60,7
14,18,58,11
10,29,82,13
10,41,91,16
14,38,524,109
14,18,557,82
17,16,145,27
17,16,167,28
14,28,112,10
14,28,111,10
14,28,195,23
6,14,11,3
14,28,111,10
12,15,85,21
14,18,153,30
15,17,99,22
15,17,649,135
14,18,70,11
14,24,53,8
14,15,16,2
15,17,27,6
14,18,74,11
25,15,52,10
14,15,85,14
14,15,92,17
15,21,232,35
14,15,108,18
8,20,587,103
14,15,164,27
14,15,77,15
14,15,74,13
15,21,244,34
14,15,107,19
14,15,103,17
15,21,625,112
14,15,80,14
12,18,145,36
14,15,241,32
15,29,1865,307
15,21,547,90
14,15,85,14
15,21,463,78
18,21,81,13
15,21,367,63
15,21,404,69
18,21,96,13
18,21,107,16
12,31,1862,306
15,21,610,94
15,21,118,15
15,21,466,70
15,21,415,74
17,20,2407,403
15,21,589,103
15,44,3676,628
14,15,110,21
14,15,71,13
15,21,1898,348
14,15,82,16
15,21,457,88
15,21,763,129
14,15,70,15
12,49,489,74
14,15,106,17
15,21,250,34
15,21,681,115
14,15,86,15
14,29,529,90
12,17,583,102
14,29,514,88
14,29,259,42
12,36,49,12
14,29,694,107
14,29,167,30
14,29,56,10
12,18,35,5
10,22,49,8
12,18,10,2
14,29,794,126
12,18,38,5
13,20,3282,455
12,18,322,59
14,29,1294,201
14,29,212,37
14,29,253,37
6,14,72,13
6,28,43,8
6,28,44,8
6,14,35,5
6,14,43,7
6,28,42,8
6,28,25,5
6,14,52,9
6,14,47,8
6,28,58,10
6,28,41,6
6,14,40,8
6,28,33,5
6,14,52,9
6,14,11,3
6,28,33,7
6,28,19,3
6,28,22,4
6,14,73,16
6,14,54,10
6,14,77,11
6,14,64,13
6,14,11,3
6,14,1010,162
15,29,34,6
6,14,32,5
6,28,58,11
6,28,32,5
6,14,41,11
14,35,40,6
6,14,45,11
6,28,74,13
6,14,37,7
6,14,48,6
6,14,11,3
6,28,42,8
6,14,26,4
6,28,50,8
6,14,25,5
6,28,48,8
6,28,36,6
6,14,74,10
6,14,58,13
6,14,27,5
6,28,44,10
6,28,30,5
6,14,34,8
6,28,45,10
6,28,61,16
6,14,40,7
6,28,82,12
6,28,34,6
6,14,70,10
6,28,23,4
6,14,89,20
6,14,69,15
6,14,66,14
14,35,62,13
6,28,63,11
6,14,38,6
6,14,26,4
6,28,62,13
6,14,45,7
6,28,43,6
6,28,38,7
6,28,30,5
6,28,43,8
6,28,29,5
6,28,71,12
6,14,53,9
6,28,70,14
6,28,48,7
6,14,11,3
6,28,33,6
11,22,142,27
17,26,226,42
14,20,36,7
14,20,42,7
14,20,78,12
14,20,94,15
19,18,45,10
19,18,33,6
19,18,576,117
19,18,61,14
19,18,99,21
13,26,7528,1320
13,26,83,15
13,21,891,168
12,18,468,93
5,16,102,19
14,16,426,70
15,25,97,20
10,42,75,16
14,18,87,15
12,19,293,53
13,21,272,40
7,25,433,50
10,17,2151,348
13,26,181,31
14,16,187,33
13,21,316,50
12,40,265,38
13,21,708,138
10,17,302,54
13,21,654,133
13,24,634,124
10,42,196,38
12,19,40,6
12,18,959,210
12,19,123,20
14,18,465,83
13,21,424,71
13,21,267,48
12,16,68,14
7,25,124,23
12,13,361,60
12,13,192,37
13,21,507,95
12,13,162,23
13,26,123,23
17,22,106,14
15,25,36,5
8,25,37,4
8,25,69,11
8,25,15,3
8,30,15,3
8,25,15,3
8,30,15,3
8,30,15,3
8,23,14,3
8,25,15,3
8,30,15,3
8,30,15,3
8,30,15,3
8,30,15,3
8,25,15,3
8,30,15,3
8,25,15,3
8,30,15,3
8,30,15,3
8,25,15,3
8,30,15,3
8,30,15,3
8,30,15,3
8,30,15,3
8,30,15,3
8,23,14,3
8,30,15,3
8,23,14,3
8,23,14,3
8,25,15,3
8,30,15,3
8,30,15,3
8,25,15,3
8,25,15,3
8,30,15,3
8,30,15,3
8,30,15,3
16,16,28,4
21,19,264,45
12,20,79,22
12,20,14,3
13,39,29,6
12,20,359,71
12,22,207,29
13,39,104,15
12,20,55,15
12,20,21,7
12,20,28,8
15,25,178,24
12,20,12,2
12,20,319,56
13,39,34,7
12,20,39,7
12,16,610,98
12,16,152,26
12,16,215,39
12,16,73,12
12,16,46,9
11,19,87,13
13,20,47,13
10,18,62,14
11,19,39,8
6,20,45,9
11,19,44,11
22,23,210,37
10,18,32,8
10,18,58,12
10,18,62,18
13,20,44,11
16,16,61,9
14,38,32,9
10,18,26,9
9,22,75,20
19,22,52,13
9,22,56,15
19,22,48,13
9,22,168,38
19,22,67,17
10,18,3120,511
9,22,133,32
9,22,92,22
9,22,107,20
9,22,58,13
26,19,39,9
15,23,548,169
15,23,37,5
12,45,422,82
10,18,47,12
15,23,91,21
15,23,776,146
15,23,565,120
15,23,257,48
15,23,15,4
15,23,47,7
15,23,49,12
14,38,43,10
12,45,232,47
15,23,25,4
15,23,24,5
15,23,571,99
26,19,44,7
15,23,26,5
15,23,56,13
15,23,947,168
15,23,67,14
15,23,39,7
14,38,183,35
15,23,157,32
13,44,230,41
15,23,50,10
15,23,159,32
15,23,10,3
15,23,1863,323
13,22,26,5
10,18,52,13
15,23,49,11
15,23,46,8
15,23,257,56
15,23,594,116
15,23,42,11
26,19,28,5
15,23,214,43
14,38,4313,875
14,38,44,12
4,19,96,21
14,38,55,10
14,38,508,99
15,23,55,13
14,38,28,8
4,19,45,12
13,37,56,9
13,24,49,7
11,17,50,8
11,17,28,5
11,17,21,6
11,17,41,6
11,17,48,10
11,17,19,6
11,17,25,5
11,17,39,7
11,17,31,7
11,17,48,10
11,17,160,25
11,17,44,9
11,17,44,8
11,17,35,8
11,17,20,6
11,17,51,10
11,17,7,1
11,17,201,41
11,17,79,15
11,17,40,10
11,17,55,11
11,17,20,3
11,17,38,9
11,17,27,7
11,17,43,9
11,17,61,14
9,25,56,10
9,25,151,22
14,24,148,29
14,18,101,18
9,25,89,14
9,25,207,32
9,19,48,10
19,18,20,4
19,19,52,10
19,19,138,25
9,19,55,10
9,19,43,7
9,19,23,4
9,19,69,13
9,19,127,27
9,19,77,15
9,19,27,5
9,19,169,31
9,19,65,11
9,19,40,7
12,30,99,17
15,19,44,6
12,30,3205,623
9,19,218,31
12,19,732,109
6,18,17,3
9,19,879,156
14,24,266,45
15,21,282,53
15,21,202,29
15,21,322,65
15,21,177,32
15,21,345,72
15,21,90,13
15,21,229,41
15,21,152,25
12,18,42,7
12,18,81,13
12,18,48,9
13,17,46,10
12,18,63,11
12,18,126,23
12,18,31,4
26,22,31,5
12,18,75,16
6,19,50,11
12,18,131,21
7,22,38,6
11,17,37,4
12,18,30,6
12,18,19,4
12,18,40,6
12,18,31,6
12,18,94,19
12,18,125,23
26,22,42,5
7,18,31,5
12,18,63,11
26,22,18,3
12,18,72,13
7,18,11,4
12,18,25,4
12,18,58,13
26,46,32,9
13,20,40,8
12,21,23,6
12,18,125,18
15,27,137,21
8,18,50,10
12,21,44,8
12,21,22,4
12,21,5,1
12,32,23,3
12,19,439,77
11,19,160,16
12,19,177,34
11,19,162,17
11,19,93,9
10,17,67,15
11,19,178,26
12,22,189,23
11,19,551,93
11,19,236,24
14,19,90,8
12,21,23,7
12,21,30,6
9,21,44,6
11,18,145,27
17,27,138,26
17,27,48,7
9,21,38,6
17,27,32,4
10,20,33,5
17,27,106,19
17,27,90,16
17,27,73,12
20,25,51,10
17,27,34,5
10,20,71,13
17,27,19,3
16,16,56,10
16,16,36,7
16,16,111,21
20,25,82,16
16,16,50,9
10,20,44,8
17,27,96,18
16,16,106,19
16,16,86,11
17,27,65,12
16,16,42,7
17,27,99,18
16,16,328,51
16,16,165,22
16,16,45,7
16,16,67,13
8,20,17,5
8,16,25,6
8,20,28,6
8,20,19,5
8,20,22,6
8,20,20,5
8,20,31,7
7,17,25,3
7,17,27,5
7,17,14,4
7,17,15,3
7,17,26,7
7,17,52,7
7,17,26,3
4,20,35,6
4,20,138,30
4,20,154,33
14,21,19,5
14,21,29,4
8,18,84,16
5,30,313,69
14,21,64,9
9,18,40,6
14,21,19,3
13,17,83,15
18,33,114,12
18,20,20,4
5,30,209,40
13,17,14,2
14,21,68,10
13,17,40,6
9,18,16,3
14,21,37,7
7,41,220,36
14,21,33,9
18,20,35,6
13,17,47,5
15,22,50,9
14,21,46,8
14,14,27,4
6,18,24,4
11,20,36,8
9,21,339,63
9,18,359,70
14,21,52,6
18,20,8,3
8,25,48,9
7,16,76,15
7,16,52,12
6,20,265,49
7,16,301,55
7,16,76,18
7,16,97,22
7,16,52,13
7,16,49,13
7,16,211,44
7,16,79,17
7,16,62,17
7,16,79,15
7,16,98,21
7,16,97,21
10,19,578,100
17,17,164,31
17,17,53,11
10,44,115,26
13,23,152,15
22,23,137,10
13,18,1674,229
10,17,12,3
11,21,36,7
11,21,12,3
10,27,28,7
18,16,434,82
11,21,18,2
11,21,10,2
18,21,46,12
10,17,115,21
11,24,37,6
10,17,233,46
10,27,40,7
11,21,32,7
6,21,66,12
11,21,61,9
18,21,37,4
18,21,86,17
10,27,86,13
10,17,232,46
11,21,93,16
18,21,50,10
11,21,24,3
11,17,52,7
7,17,18,3
5,12,23,3
7,17,57,10
5,12,12,2
7,39,155,28
5,12,26,4
7,17,30,6
7,17,80,16
5,12,66,11
14,23,74,14
11,37,11,2
11,37,62,13
12,37,258,48
14,18,472,77
14,18,10,2
11,37,61,8
11,37,16,3
11,37,211,27
8,23,356,68
6,34,180,29
11,26,213,40
8,23,161,30
10,41,325,60
11,26,64,14
12,18,347,62
11,26,79,19
11,26,387,61
11,26,260,42
11,26,503,76
7,43,964,139
6,34,161,28
12,46,322,49
8,23,45,12
11,26,197,36
11,26,145,29
11,26,58,17
7,43,72,19
7,43,526,100
8,43,101,22
6,34,164,32
7,43,516,71
10,20,58,10
10,15,63,11
8,19,22,3
14,25,20,3
15,25,43,7
8,19,33,5
11,14,326,62
14,21,31,4
14,18,92,19
12,13,41,6
10,20,33,5
12,13,246,41
12,13,29,5
12,13,46,7
15,25,30,4
10,20,59,11
9,19,231,34
10,18,547,97
7,17,125,19
4,13,203,41
12,13,47,6
14,18,45,5
8,19,44,6
12,13,21,3
8,19,51,6
12,13,40,5
10,20,31,6
10,20,70,13
14,18,38,4
10,20,38,6
11,21,75,15
15,25,28,5
8,19,22,3
15,26,149,24
8,19,31,4
8,19,40,7
12,22,6,1
16,33,98,20
16,19,39,6
16,33,64,10
7,14,56,12
7,14,70,11
4,14,126,25
7,14,28,4
9,15,64,8
7,14,184,35
7,14,108,21
7,14,136,13
7,14,58,11
7,14,330,67
7,14,70,13
4,14,246,48
7,14,150,25
4,14,41,7
4,14,133,21
7,14,83,15
7,14,84,14
7,14,122,23
5,18,33,6
7,14,213,39
7,14,47,8
4,14,107,13
9,15,22,3
17,25,119,23
4,18,29,5
7,14,123,19
7,14,113,22
7,19,28,6
5,17,21,4
4,14,92,12
7,14,42,7
7,14,23,3
7,14,274,52
7,14,61,10
4,14,192,23
7,14,75,15
9,15,354,57
7,14,63,8
7,14,418,81
7,14,58,10
4,14,55,4
4,14,43,9
7,14,106,24
7,14,93,14
7,14,42,6
4,14,58,7
7,14,24,3
7,14,96,13
9,15,43,6
7,14,72,12
7,14,26,3
4,18,40,6
7,14,162,30
7,14,69,13
7,14,159,32
9,15,63,10
7,25,87,12
5,17,42,10
4,14,41,12
4,14,28,5
7,25,42,5
4,14,26,4
4,14,20,4
7,14,39,6
4,14,80,7
9,15,57,9
4,14,42,11
7,14,72,11
7,14,121,21
4,14,39,10
7,14,67,12
