Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
13,18,21,3
13,18,17,2
13,18,24,3
13,18,24,3
13,18,16,2
13,18,17,2
13,18,12,2
16,26,19,2
16,26,12,2
16,26,31,7
16,26,26,5
14,38,74,17
16,26,38,4
16,26,9,2
16,26,25,2
16,26,35,7
6,26,24,5
16,26,31,4
20,30,30,6
6,26,41,5
16,26,25,5
16,26,17,2
16,26,37,8
6,26,22,4
15,27,710,145
15,27,316,49
11,17,46,9
11,17,61,13
11,17,31,8
11,17,25,7
11,17,23,7
11,17,124,18
11,17,20,6
11,17,33,9
11,17,20,6
11,17,47,12
11,17,21,6
11,17,26,7
11,17,41,6
11,17,33,8
11,17,11,2
11,17,34,10
11,17,66,9
11,17,95,18
11,17,30,8
11,17,65,13
11,17,34,8
11,17,34,9
11,17,40,9
11,17,29,8
11,17,34,10
11,17,55,11
11,17,35,7
11,17,20,4
11,17,19,6
11,17,41,7
11,17,32,7
11,17,22,7
11,17,27,4
11,17,20,6
11,17,40,10
11,17,37,6
11,17,23,6
11,17,15,2
11,17,42,11
11,17,16,6
11,17,23,8
11,17,36,9
11,17,24,7
11,17,17,2
11,17,52,10
11,17,43,6
11,17,14,2
11,17,45,6
11,17,38,10
11,17,29,4
11,17,13,2
11,17,14,2
11,17,62,9
11,17,26,6
11,17,33,7
11,17,31,8
11,17,32,8
11,17,449,76
11,19,69,12
15,20,470,78
22,23,1054,138
11,21,82,13
11,21,60,8
10,22,38,6
12,17,24,5
13,18,871,164
11,19,92,15
16,19,570,91
12,17,162,25
11,45,678,123
15,31,2506,480
15,31,83,20
12,17,313,53
16,19,110,12
16,19,337,71
16,19,624,112
18,52,101,16
16,19,193,37
12,17,124,24
12,17,173,29
15,19,117,18
16,19,267,38
12,17,277,46
16,19,201,30
12,17,419,81
11,19,103,16
15,18,701,129
16,19,33,7
12,17,106,18
11,19,111,20
15,31,132,26
12,17,973,171
15,19,245,43
11,45,414,83
12,17,576,109
11,19,355,57
12,17,893,147
11,19,190,35
12,17,842,153
16,19,890,150
10,22,18,3
15,19,304,52
16,19,108,19
15,19,6492,1170
7,17,25,3
7,17,27,5
7,17,14,4
9,42,32,2
7,17,52,7
7,17,26,3
16,16,15,2
7,12,39,7
7,12,56,10
16,29,155,30
16,29,84,12
16,19,38,6
11,25,70,12
11,25,47,8
11,25,22,4
11,25,48,10
11,25,24,6
11,25,86,18
7,21,45,10
15,21,1387,246
12,24,312,57
11,25,85,10
12,24,45,8
15,21,49,8
11,25,67,14
11,25,46,10
7,21,38,8
15,21,35,6
11,25,39,7
11,25,54,8
11,25,42,9
11,25,50,10
11,25,83,17
15,21,459,103
14,26,1012,185
14,22,48483,8719
14,26,175,36
14,26,2254,434
14,22,1280,236
14,26,143,26
14,26,47,9
14,26,271,50
14,26,252,51
11,18,55,8
14,26,280,53
14,26,140,29
14,22,82818,14935
14,26,265,53
14,26,119,21
14,26,1381,259
14,26,27,6
14,26,1974,367
14,26,213,42
14,26,4278,780
14,26,1748,308
14,26,407,79
14,22,189067,32831
5,23,12,1
13,17,97,14
10,17,69,9
10,17,45,5
12,17,205,24
14,24,602,111
15,21,103,15
9,19,472,59
15,21,167,17
11,23,170,29
15,21,142,17
10,20,124,14
12,17,442,65
12,17,99,8
16,17,117,12
8,18,284,43
11,23,407,58
16,17,252,30
15,21,271,37
22,23,163,17
15,21,199,23
22,23,75,12
22,23,125,10
10,17,273,45
13,17,493,78
17,22,74,13
15,21,195,24
8,18,135,18
8,18,319,48
22,23,1073,177
13,17,99,8
22,23,108,16
14,24,278,47
22,23,179,23
15,21,174,22
15,21,141,20
15,21,147,15
10,20,98,18
15,21,191,24
8,18,118,12
15,21,115,17
15,21,93,12
10,17,80,9
9,19,253,36
13,17,85,13
15,21,150,17
15,21,223,30
10,17,81,11
9,19,454,71
8,18,454,80
14,19,346,52
8,18,190,22
22,23,145,16
11,14,230,33
9,14,42,7
11,14,266,33
11,14,176,20
11,14,734,112
11,14,222,28
11,14,364,41
11,14,196,24
25,13,230,33
4,24,31,4
14,22,90,17
13,24,22,4
4,24,26,3
4,24,6,1
4,24,91,13
4,24,221,35
14,22,17,3
14,22,86,15
13,24,56,8
4,24,21,3
14,22,22,3
14,22,4,1
14,22,181,32
4,24,49,7
4,24,50,8
14,22,6,1
4,24,36,7
4,24,29,4
13,24,21,3
14,22,7,1
4,24,215,45
4,24,34,3
4,24,19,3
14,22,319,56
14,22,9,1
14,22,22,3
4,24,12,2
4,24,35,6
4,24,26,4
14,22,15,2
12,24,71,11
4,24,68,12
4,24,29,4
14,22,78,14
4,24,37,7
4,24,8,1
4,24,37,5
13,24,54,11
14,22,96,19
4,24,57,7
4,24,29,4
14,22,131,24
14,22,6,1
14,22,4,1
4,24,60,9
4,24,84,16
4,24,25,3
14,22,246,29
14,22,60,9
4,24,15,2
14,22,64,8
14,22,351,68
4,24,65,9
4,24,21,3
14,22,48,7
4,24,8,1
14,22,220,42
14,22,6,1
14,22,363,74
14,22,251,47
14,22,145,28
14,22,15,2
14,22,131,23
14,22,44,2
14,22,15,2
13,24,13,3
4,24,26,3
14,22,233,43
4,24,60,12
14,22,65,13
14,22,6,1
14,22,132,25
4,24,35,4
14,22,78,16
14,22,138,21
4,24,39,5
14,22,136,24
13,24,28,3
14,22,64,11
4,24,49,7
4,24,49,6
14,22,62,12
13,24,25,3
13,24,35,6
14,22,26,4
4,24,20,2
14,22,46,7
4,24,40,6
4,24,30,3
13,24,130,22
14,22,54,10
4,24,359,64
4,24,26,5
4,24,154,30
4,24,23,4
4,24,37,7
4,24,31,4
14,22,6,1
4,24,33,3
4,24,22,4
14,22,6,1
14,22,132,26
4,24,31,4
4,24,17,3
4,24,35,7
4,24,82,12
13,24,28,2
14,22,144,22
4,24,19,4
14,22,40,7
14,22,131,22
14,22,110,20
4,24,16,2
14,22,339,64
4,24,208,37
4,24,20,2
4,24,112,15
4,24,41,5
14,22,397,80
14,22,260,48
14,22,137,23
14,22,58,14
14,22,6,1
4,24,9,2
4,24,34,4
14,22,46,12
4,24,78,11
4,24,18,4
4,24,37,5
14,22,65,8
14,22,25,5
4,24,64,11
4,24,45,8
4,24,44,10
14,22,153,26
4,24,194,37
4,24,86,13
4,24,99,15
4,24,25,4
